"id";"dato"
"1";"WebPage"
"2";"Local"
"3";"Product"
"4";"Hcard"
"5";"Organization"
"6";"Hentry"
"7";"WebSite"
"8";"SiteNavigation"
"9";"Footer"
"10";"WPSideBar"
"11";"Article"
"12";"Recipe"
"13";"Creative Work"
"14";"WPHeader"
"15";"Person"
"16";"Breadcrumb List"
"17";"Collection Page"
"18";"Image Gallery"
"19";"Image Object"
